Point,Depth,USCS_code,PF_code,GMC,Notes
T3-077,280,SM,1,,
T3-077,290,SM,1,,
T3-077,300,SM,1,45.4,
T3-077,310,SM,1,,
T3-077,320,SM,1,,
T3-077,330,SM,1,38.9,
T3-077,340,SM,1,,
T3-077,350,SM,1,,
T3-077,360,SM,1,40.1,
T3-077,370,SM,1,,
T3-077,380,SP,1,,
T3-077,390,SP,1,27.6,
T3-077,400,SP,1,,
T3-077,410,SP,1,,
T3-077,420,SP,1,30.7,
T3-077,430,SP,1,,
T3-077,440,SP,1,,
T3-077,450,SP,1,32.3,
T3-077,460,SP,1,,
T3-077,470,SP,1,,
T3-077,480,SP,1,29.6,
T3-077,490,SP,1,,
T3-077,500,SP,1,,
T3-077,510,SP,1,32.8,
T3-077,520,SP,1,,
T3-077,530,SP,1,,
T3-077,540,SP,1,31,
T3-077,550,SP,1,,
T3-077,560,SW,1,,
T3-077,570,SW,1,19.4,
T3-077,580,SW,1,,
T3-077,590,GW,1,,
T3-080,10,Pt,0,,Thaw depth 53 cm
T3-080,20,ML,0,,
T3-080,30,Pt,0,149.2,
T3-080,40,Pt,0,,
T3-080,50,Pt,0,,
T3-080,60,Pt,1,253,
T3-080,70,Pt,1,,
T3-080,80,Pt,1,,
T3-080,90,Pt,1,636,
T3-080,100,Pt,1,,
T3-080,110,Pt,1,,
T3-080,120,ML,1,123.1,
T3-080,130,ML,1,,
T3-080,140,ML,1,,wedge/silt contact
T3-080,150,ML,1,230.2,wedge/silt contact
T3-080,160,ML,1,,wedge/silt contact
T3-080,170,ML,1,,
T3-080,180,ML,1,164.8,
T3-080,190,ML,1,,
T3-080,200,ML,1,,
T3-080,210,ML,1,111,
T3-080,220,ML,1,,
T3-080,230,ML,1,,
T3-080,240,ML,1,67.2,
T3-080,250,ML,1,,
T3-080,260,SM,1,,
T3-080,270,SM,1,38.5,
T3-080,280,SM,1,,
T3-080,290,SM,1,,
T3-080,300,SM,1,41.9,
T3-080,310,SM,1,,
T3-080,320,SM,1,,
T3-080,330,SM,1,38.6,
T3-080,340,SM,1,,
T3-080,350,SM,1,,
T3-080,360,SM,1,36.1,
T3-080,370,SM,1,,
T3-080,380,SM,1,,
T3-080,390,SP,1,28,
T3-080,400,SP,1,,
T3-080,410,SP,1,,
T3-080,420,SP,1,32,
T3-080,430,SM,1,,
T3-080,440,SM,1,,
T3-080,450,SM,1,32.5,
T3-080,460,SP,1,,
T3-080,470,SP,1,,
T3-080,480,SP,1,37.7,
T3-080,490,SP,1,,
T3-080,500,SP,1,,
T3-080,510,SP,1,32,
T3-080,520,SP,1,,
T3-080,530,SP,1,,
T3-080,540,SP,1,33.6,
T3-080,550,SP,1,,
T3-080,560,SP,1,,3-5% gravel
T3-080,570,SP,1,32.9,3-5% gravel
T3-080,580,SP,1,,3-5% gravel
T3-080,590,SP,1,,3-5% gravel
T3-080,600,GW,1,23.4,40% sand
T3-083,10,Pt,0,,Thaw depth 47 cm
T3-083,20,Pt,0,,
T3-083,30,Pt,0,,missed sample
T3-083,40,Pt,0,,
T3-083,50,Pt,0,,
T3-083,60,Pt,1,1296.3,"Vr/Vs, belts"
T3-083,70,Pt,1,,"Vr/Vs, belts"
T3-083,80,Pt,1,,"Vr/Vs, belts"
T3-083,90,Pt,1,362.1,
T3-083,100,Pt,1,,
T3-083,110,ICE,1,,
T3-083,120,ICE,1,,
T3-083,130,ICE,1,,
T3-083,140,ICE,1,,
T3-083,150,ICE,1,,
T3-083,160,ICE,1,,
T3-083,170,ICE,1,,
T3-083,180,ICE,1,,
T3-083,190,ICE,1,,
T3-083,200,ICE,1,,
T3-083,210,ICE,1,,
T3-083,220,ICE,1,,
T3-083,230,ICE,1,,
T3-083,240,SM,1,67.8,
T3-083,250,SM,1,,
T3-083,260,SM,1,,
T3-083,270,SM,1,48.9,
T3-083,280,SM,1,,
T3-083,290,SM,1,,
T3-083,300,SM,1,64,
T3-083,310,SM,1,,
T3-083,320,SM,1,,
T3-083,330,SM,1,43.8,
T3-083,340,SM,1,,
T3-083,350,SM,1,,
T3-083,360,SM,1,32.5,
T3-083,370,SP,1,,
T3-083,380,SP,1,,
T3-083,390,SP,1,34.7,
T3-083,400,SP,1,,
T3-083,410,SM,1,,
T3-083,420,SM,1,32.8,
T3-083,430,SM,1,,
T3-083,440,SM,1,,
T3-083,450,SM,1,33.6,
T3-083,460,SM,1,,
T3-083,470,SM,1,,
T3-083,480,SP,1,30,
T3-083,490,SP,1,,
T3-083,500,SP,1,,
T3-083,510,SP,1,28.8,
T3-083,520,SP,1,,
T3-083,530,SP,1,,
T3-083,540,SP,1,34.1,
T3-083,550,SP,1,,
T3-083,560,SP,1,,
T3-083,570,SP,1,30.1,
T3-083,580,SW,1,,
T3-083,590,SW,1,,
T3-086,10,Pt,0,,Thaw depth 64 cm
T3-086,20,Pt,0,,
T3-086,30,Pt,0,151.1,
T3-086,40,Pt,0,,
T3-086,50,Pt,0,,
T3-086,60,Pt,0,229.8,sample of frozen peat
T3-086,70,Pt,1,,Vs/Vr
T3-086,80,Pt,1,,Vs/Vr
T3-086,90,Pt,1,684.9,Vs/Vr
T3-086,100,Pt,1,,
T3-086,110,Pt,1,,
T3-086,120,Pt,1,181.5,
T3-086,130,ML,1,,OL?
T3-086,140,ML,1,,OL?
T3-086,150,ML,1,207.8,
T3-086,160,ML,1,,
T3-086,170,ML,1,,
T3-086,180,ML,1,235.1,
T3-086,190,ML,1,,
T3-086,200,ML,1,,
T3-086,210,ML,1,141.7,
T3-086,220,ML,1,,
T3-086,230,ML,1,,
T3-086,240,ML,1,69.3,
T3-086,250,SM,1,,
T3-086,260,SM,1,,
T3-086,270,SM,1,60.4,
T3-086,280,SM,1,,
T3-086,290,SM,1,,
T3-086,300,SM,1,40.6,
T3-086,310,SM,1,,
T3-086,320,SM,1,,
T3-086,330,SM,1,39.2,
T3-086,340,SM,1,,
T3-086,350,SM,1,,
T3-086,360,SM,1,34.4,
T3-086,370,SM,1,,
T3-086,380,SM,1,,
T3-086,390,SP,1,30,
T3-086,400,SP,1,,
T3-086,410,SP,1,,
T3-086,420,SM,1,41.5,
T3-086,430,SM,1,,
T3-086,440,SM,1,,
T3-086,450,SM,1,31.5,
T3-086,460,SM,1,,
T3-086,470,SM,1,,
T3-086,480,SM,1,34.9,
T3-086,490,SM,1,,
T3-086,500,SM,1,,
T3-086,510,SP,1,26.4,
T3-086,520,SP,1,,
T3-086,530,SP,1,,
T3-086,540,SP,1,30.4,
T3-086,550,SP,1,,
T3-086,560,SP,1,,
T3-086,570,SP,1,33.1,
T3-086,580,SP,1,,
T3-086,590,SP,1,,
T3-086,600,SP,1,30.7,
T3-086,610,SP,1,,
T3-086,620,SP,1,,
T3-089,10,Pt,0,,Thaw depth 55 cm
T3-089,20,Pt,0,,
T3-089,30,Pt,0,101.2,
T3-089,40,Pt,0,,
T3-089,50,Pt,0,,
T3-089,60,Pt,1,313.9,
T3-089,70,Pt,1,,
T3-089,80,Pt,1,,
T3-089,90,Pt,1,905.3,
T3-089,100,Pt,1,,
T3-089,110,Pt,1,,
T3-089,120,Pt,1,671.2,
T3-089,130,Pt,1,,
T3-089,140,Pt,1,,
T3-089,150,ML,1,173.6,OL?
T3-089,160,ML,1,,OL?
T3-089,170,ML,1,,OL?
T3-089,180,ML,1,222.1,OL?
T3-089,190,ML,1,,OL?
T3-089,200,ML,1,,OL?
T3-089,210,ML,1,111.7,OL?
T3-089,220,ML,1,,
T3-089,230,SM,1,,
T3-089,240,SM,1,78.8,
T3-089,250,SM,1,,
T3-089,260,SM,1,,
T3-089,270,SM,1,53.7,
T3-089,280,SM,1,,
T3-089,290,SM,1,,
T3-089,300,SM,1,39.3,
T3-089,310,SM,1,,
T3-089,320,SM,1,,
T3-089,330,SM,1,39.7,
T3-089,340,SM,1,,
T3-089,350,SM,1,,
T3-089,360,SM,1,37.2,
T3-089,370,SM,1,,
T3-089,380,SM,1,,
T3-089,390,SM,1,26.9,
T3-089,400,SP,1,,
T3-089,410,SP,1,,
T3-089,420,SM,1,32.2,
T3-089,430,SM,1,,
T3-089,440,SM,1,,
T3-089,450,SM,1,37.2,
T3-089,460,SM,1,,
T3-089,470,SM,1,,
T3-089,480,SM,1,36.4,
T3-089,490,SM,1,,
T3-089,500,SP,1,,
T3-089,510,SP,1,31,
T3-089,520,SP,1,,
T3-089,530,SP,1,,
T3-089,540,SP,1,32.9,
T3-089,550,SP,1,,
T3-089,560,SP,1,,
T3-089,570,SP,1,32.4,
T3-089,580,SP,1,,
T3-089,590,SP,1,,
T3-089,600,SP,1,33,
T3-089,610,SP,1,,
T3-089,620,SP,1,,
T3-089,630,SP,1,28.1,5% gravel
T3-092,10,Pt,0,,Thaw depth 46 cm
T3-092,20,Pt,0,,
T3-092,30,Pt,0,175.2,
T3-092,40,Pt,0,,
T3-092,50,Pt,0,,
T3-092,60,Pt,1,198,
T3-092,70,Pt,1,,
T3-092,80,Pt,1,,
T3-092,90,Pt,1,603.1,
T3-092,100,Pt,1,,
T3-092,110,Pt,1,,
T3-092,120,Pt,1,701.6,
T3-092,130,Pt,1,,
T3-092,140,Pt,1,,
T3-092,150,ML,1,240.4,OL?
T3-092,160,ML,1,,OL?
T3-092,170,ML,1,,OL?
T3-092,180,ML,1,304.6,OL?
T3-092,190,ML,1,,OL?
T3-092,200,ML,1,,OL?
T3-092,210,ML,1,120.4,OL?
T3-092,220,ML,1,,OL?
T3-092,230,ML,1,,OL?
T3-092,240,ML,1,85.3,OL?
T3-092,250,SM,1,,
T3-092,260,SM,1,,
T3-092,270,SM,1,64.2,
T3-092,280,SM,1,,
T3-092,290,SM,1,,
T3-092,300,SM,1,46.7,
T3-092,310,SM,1,,
T3-092,320,SM,1,,
T3-092,330,SM,1,38.9,
T3-092,340,SM,1,,
T3-092,350,SM,1,,
T3-092,360,SM,1,36.3,
T3-092,370,SM,1,,
T3-092,380,SM,1,,
T3-092,390,SM,1,36.7,
